,comparison_Type,text1_index,text1_class,text2_index,text2_class,similarity
0,Similarity(same_class),0,alt.atheism,1,alt.atheism,0.3169589
1,Similarity(same_class),0,alt.atheism,2,alt.atheism,0.27547568
2,Similarity(same_class),0,alt.atheism,3,alt.atheism,0.32195085
3,Similarity(same_class),0,alt.atheism,4,alt.atheism,0.44590658
4,Similarity(different_class),0,alt.atheism,5,comp.graphics,0.27225024
5,Similarity(different_class),0,alt.atheism,10,comp.os.ms-windows.misc,0.1894759
6,Similarity(different_class),0,alt.atheism,15,comp.sys.ibm.pc.hardware,0.27163097
7,Similarity(different_class),0,alt.atheism,20,comp.sys.mac.hardware,0.29130563
8,Similarity(different_class),0,alt.atheism,25,comp.windows.x,0.2242285
9,Similarity(different_class),0,alt.atheism,30,misc.forsale,0.2967892
10,Similarity(different_class),0,alt.atheism,35,rec.autos,0.27392775
11,Similarity(different_class),0,alt.atheism,40,rec.motorcycles,0.044806533
12,Similarity(different_class),0,alt.atheism,45,rec.sport.baseball,0.114829175
13,Similarity(different_class),0,alt.atheism,50,rec.sport.hockey,0.20435427
14,Similarity(different_class),0,alt.atheism,55,sci.crypt,0.22490773
15,Similarity(different_class),0,alt.atheism,60,sci.electronics,0.17500998
16,Similarity(different_class),0,alt.atheism,65,sci.med,0.06324288
17,Similarity(different_class),0,alt.atheism,70,sci.space,0.47229883
18,Similarity(different_class),0,alt.atheism,75,soc.religion.christian,0.26907155
19,Similarity(different_class),0,alt.atheism,80,talk.politics.guns,0.34081638
20,Similarity(different_class),0,alt.atheism,85,talk.politics.mideast,0.12922966
21,Similarity(different_class),0,alt.atheism,90,talk.politics.misc,0.160985
22,Similarity(different_class),0,alt.atheism,95,talk.religion.misc,0.236891
23,Similarity(same_class),5,comp.graphics,6,comp.graphics,0.287197
24,Similarity(same_class),5,comp.graphics,7,comp.graphics,0.35410428
25,Similarity(same_class),5,comp.graphics,8,comp.graphics,0.2920601
26,Similarity(same_class),5,comp.graphics,9,comp.graphics,0.23913838
27,Similarity(different_class),5,comp.graphics,0,alt.atheism,0.27972233
28,Similarity(different_class),5,comp.graphics,10,comp.os.ms-windows.misc,0.21884856
29,Similarity(different_class),5,comp.graphics,15,comp.sys.ibm.pc.hardware,0.30084836
30,Similarity(different_class),5,comp.graphics,20,comp.sys.mac.hardware,0.47792202
31,Similarity(different_class),5,comp.graphics,25,comp.windows.x,0.22026
32,Similarity(different_class),5,comp.graphics,30,misc.forsale,0.34356195
33,Similarity(different_class),5,comp.graphics,35,rec.autos,0.21187228
34,Similarity(different_class),5,comp.graphics,40,rec.motorcycles,0.15231335
35,Similarity(different_class),5,comp.graphics,45,rec.sport.baseball,0.23460677
36,Similarity(different_class),5,comp.graphics,50,rec.sport.hockey,0.10889818
37,Similarity(different_class),5,comp.graphics,55,sci.crypt,0.09054446
38,Similarity(different_class),5,comp.graphics,60,sci.electronics,0.16638109
39,Similarity(different_class),5,comp.graphics,65,sci.med,0.06594588
40,Similarity(different_class),5,comp.graphics,70,sci.space,0.3092902
41,Similarity(different_class),5,comp.graphics,75,soc.religion.christian,0.042573087
42,Similarity(different_class),5,comp.graphics,80,talk.politics.guns,0.18372619
43,Similarity(different_class),5,comp.graphics,85,talk.politics.mideast,0.1851631
44,Similarity(different_class),5,comp.graphics,90,talk.politics.misc,0.1345656
45,Similarity(different_class),5,comp.graphics,95,talk.religion.misc,0.27931064
46,Similarity(same_class),10,comp.os.ms-windows.misc,11,comp.os.ms-windows.misc,0.4011281
47,Similarity(same_class),10,comp.os.ms-windows.misc,12,comp.os.ms-windows.misc,0.21510816
48,Similarity(same_class),10,comp.os.ms-windows.misc,13,comp.os.ms-windows.misc,0.38956946
49,Similarity(same_class),10,comp.os.ms-windows.misc,14,comp.os.ms-windows.misc,0.36447006
50,Similarity(different_class),10,comp.os.ms-windows.misc,0,alt.atheism,0.20181555
51,Similarity(different_class),10,comp.os.ms-windows.misc,5,comp.graphics,0.20911083
52,Similarity(different_class),10,comp.os.ms-windows.misc,15,comp.sys.ibm.pc.hardware,0.28049076
53,Similarity(different_class),10,comp.os.ms-windows.misc,20,comp.sys.mac.hardware,0.35063395
54,Similarity(different_class),10,comp.os.ms-windows.misc,25,comp.windows.x,0.32892203
55,Similarity(different_class),10,comp.os.ms-windows.misc,30,misc.forsale,0.26089615
56,Similarity(different_class),10,comp.os.ms-windows.misc,35,rec.autos,0.32640076
57,Similarity(different_class),10,comp.os.ms-windows.misc,40,rec.motorcycles,0.30044943
58,Similarity(different_class),10,comp.os.ms-windows.misc,45,rec.sport.baseball,0.3350172
59,Similarity(different_class),10,comp.os.ms-windows.misc,50,rec.sport.hockey,0.20142752
60,Similarity(different_class),10,comp.os.ms-windows.misc,55,sci.crypt,0.22037378
61,Similarity(different_class),10,comp.os.ms-windows.misc,60,sci.electronics,0.16349226
62,Similarity(different_class),10,comp.os.ms-windows.misc,65,sci.med,0.15791175
63,Similarity(different_class),10,comp.os.ms-windows.misc,70,sci.space,0.26692313
64,Similarity(different_class),10,comp.os.ms-windows.misc,75,soc.religion.christian,0.30401066
65,Similarity(different_class),10,comp.os.ms-windows.misc,80,talk.politics.guns,0.21011049
66,Similarity(different_class),10,comp.os.ms-windows.misc,85,talk.politics.mideast,0.22587799
67,Similarity(different_class),10,comp.os.ms-windows.misc,90,talk.politics.misc,0.33765006
68,Similarity(different_class),10,comp.os.ms-windows.misc,95,talk.religion.misc,0.2888195
69,Similarity(same_class),15,comp.sys.ibm.pc.hardware,16,comp.sys.ibm.pc.hardware,0.4097517
70,Similarity(same_class),15,comp.sys.ibm.pc.hardware,17,comp.sys.ibm.pc.hardware,0.21922421
71,Similarity(same_class),15,comp.sys.ibm.pc.hardware,18,comp.sys.ibm.pc.hardware,0.3480475
72,Similarity(same_class),15,comp.sys.ibm.pc.hardware,19,comp.sys.ibm.pc.hardware,0.33261973
73,Similarity(different_class),15,comp.sys.ibm.pc.hardware,0,alt.atheism,0.26165682
74,Similarity(different_class),15,comp.sys.ibm.pc.hardware,5,comp.graphics,0.3163545
75,Similarity(different_class),15,comp.sys.ibm.pc.hardware,10,comp.os.ms-windows.misc,0.27483928
76,Similarity(different_class),15,comp.sys.ibm.pc.hardware,20,comp.sys.mac.hardware,0.36154348
77,Similarity(different_class),15,comp.sys.ibm.pc.hardware,25,comp.windows.x,0.30883303
78,Similarity(different_class),15,comp.sys.ibm.pc.hardware,30,misc.forsale,0.40658036
79,Similarity(different_class),15,comp.sys.ibm.pc.hardware,35,rec.autos,0.20586187
80,Similarity(different_class),15,comp.sys.ibm.pc.hardware,40,rec.motorcycles,0.2877756
81,Similarity(different_class),15,comp.sys.ibm.pc.hardware,45,rec.sport.baseball,0.2685008
82,Similarity(different_class),15,comp.sys.ibm.pc.hardware,50,rec.sport.hockey,0.27303475
83,Similarity(different_class),15,comp.sys.ibm.pc.hardware,55,sci.crypt,0.3079614
84,Similarity(different_class),15,comp.sys.ibm.pc.hardware,60,sci.electronics,0.316623
85,Similarity(different_class),15,comp.sys.ibm.pc.hardware,65,sci.med,0.40950418
86,Similarity(different_class),15,comp.sys.ibm.pc.hardware,70,sci.space,0.26648182
87,Similarity(different_class),15,comp.sys.ibm.pc.hardware,75,soc.religion.christian,0.19070393
88,Similarity(different_class),15,comp.sys.ibm.pc.hardware,80,talk.politics.guns,0.026959244
89,Similarity(different_class),15,comp.sys.ibm.pc.hardware,85,talk.politics.mideast,0.25025463
90,Similarity(different_class),15,comp.sys.ibm.pc.hardware,90,talk.politics.misc,0.104045026
91,Similarity(different_class),15,comp.sys.ibm.pc.hardware,95,talk.religion.misc,0.15958169
92,Similarity(same_class),20,comp.sys.mac.hardware,21,comp.sys.mac.hardware,0.33068684
93,Similarity(same_class),20,comp.sys.mac.hardware,22,comp.sys.mac.hardware,0.33110318
94,Similarity(same_class),20,comp.sys.mac.hardware,23,comp.sys.mac.hardware,0.31998438
95,Similarity(same_class),20,comp.sys.mac.hardware,24,comp.sys.mac.hardware,0.34936804
96,Similarity(different_class),20,comp.sys.mac.hardware,0,alt.atheism,0.27998653
97,Similarity(different_class),20,comp.sys.mac.hardware,5,comp.graphics,0.47190273
98,Similarity(different_class),20,comp.sys.mac.hardware,10,comp.os.ms-windows.misc,0.34834117
99,Similarity(different_class),20,comp.sys.mac.hardware,15,comp.sys.ibm.pc.hardware,0.35569853
100,Similarity(different_class),20,comp.sys.mac.hardware,25,comp.windows.x,0.35830462
101,Similarity(different_class),20,comp.sys.mac.hardware,30,misc.forsale,0.34299827
102,Similarity(different_class),20,comp.sys.mac.hardware,35,rec.autos,0.34854466
103,Similarity(different_class),20,comp.sys.mac.hardware,40,rec.motorcycles,0.20946032
104,Similarity(different_class),20,comp.sys.mac.hardware,45,rec.sport.baseball,0.2842614
105,Similarity(different_class),20,comp.sys.mac.hardware,50,rec.sport.hockey,0.11109024
106,Similarity(different_class),20,comp.sys.mac.hardware,55,sci.crypt,0.29347187
107,Similarity(different_class),20,comp.sys.mac.hardware,60,sci.electronics,0.17793502
108,Similarity(different_class),20,comp.sys.mac.hardware,65,sci.med,0.2572747
109,Similarity(different_class),20,comp.sys.mac.hardware,70,sci.space,0.3951558
110,Similarity(different_class),20,comp.sys.mac.hardware,75,soc.religion.christian,0.22405872
111,Similarity(different_class),20,comp.sys.mac.hardware,80,talk.politics.guns,0.105312295
112,Similarity(different_class),20,comp.sys.mac.hardware,85,talk.politics.mideast,0.389468
113,Similarity(different_class),20,comp.sys.mac.hardware,90,talk.politics.misc,0.12104412
114,Similarity(different_class),20,comp.sys.mac.hardware,95,talk.religion.misc,0.23049851
115,Similarity(same_class),25,comp.windows.x,26,comp.windows.x,0.29476622
116,Similarity(same_class),25,comp.windows.x,27,comp.windows.x,0.13947499
117,Similarity(same_class),25,comp.windows.x,28,comp.windows.x,0.43542898
118,Similarity(same_class),25,comp.windows.x,29,comp.windows.x,0.2770355
119,Similarity(different_class),25,comp.windows.x,0,alt.atheism,0.23253341
120,Similarity(different_class),25,comp.windows.x,5,comp.graphics,0.23419201
121,Similarity(different_class),25,comp.windows.x,10,comp.os.ms-windows.misc,0.35961604
122,Similarity(different_class),25,comp.windows.x,15,comp.sys.ibm.pc.hardware,0.3065043
123,Similarity(different_class),25,comp.windows.x,20,comp.sys.mac.hardware,0.36689383
124,Similarity(different_class),25,comp.windows.x,30,misc.forsale,0.37146863
125,Similarity(different_class),25,comp.windows.x,35,rec.autos,0.23236701
126,Similarity(different_class),25,comp.windows.x,40,rec.motorcycles,0.18382989
127,Similarity(different_class),25,comp.windows.x,45,rec.sport.baseball,0.4170883
128,Similarity(different_class),25,comp.windows.x,50,rec.sport.hockey,0.1757326
129,Similarity(different_class),25,comp.windows.x,55,sci.crypt,0.19266412
130,Similarity(different_class),25,comp.windows.x,60,sci.electronics,0.31055212
131,Similarity(different_class),25,comp.windows.x,65,sci.med,0.041703776
132,Similarity(different_class),25,comp.windows.x,70,sci.space,0.24720234
133,Similarity(different_class),25,comp.windows.x,75,soc.religion.christian,0.23286375
134,Similarity(different_class),25,comp.windows.x,80,talk.politics.guns,0.082074225
135,Similarity(different_class),25,comp.windows.x,85,talk.politics.mideast,0.14588025
136,Similarity(different_class),25,comp.windows.x,90,talk.politics.misc,-0.06545528
137,Similarity(different_class),25,comp.windows.x,95,talk.religion.misc,0.046021968
138,Similarity(same_class),30,misc.forsale,31,misc.forsale,0.24403155
139,Similarity(same_class),30,misc.forsale,32,misc.forsale,0.91329044
140,Similarity(same_class),30,misc.forsale,33,misc.forsale,0.1344434
141,Similarity(same_class),30,misc.forsale,34,misc.forsale,0.39888757
142,Similarity(different_class),30,misc.forsale,0,alt.atheism,0.2843935
143,Similarity(different_class),30,misc.forsale,5,comp.graphics,0.35554177
144,Similarity(different_class),30,misc.forsale,10,comp.os.ms-windows.misc,0.2661864
145,Similarity(different_class),30,misc.forsale,15,comp.sys.ibm.pc.hardware,0.396214
146,Similarity(different_class),30,misc.forsale,20,comp.sys.mac.hardware,0.3315558
147,Similarity(different_class),30,misc.forsale,25,comp.windows.x,0.37578127
148,Similarity(different_class),30,misc.forsale,35,rec.autos,0.25471973
149,Similarity(different_class),30,misc.forsale,40,rec.motorcycles,0.07989864
150,Similarity(different_class),30,misc.forsale,45,rec.sport.baseball,0.20484829
151,Similarity(different_class),30,misc.forsale,50,rec.sport.hockey,0.18677539
152,Similarity(different_class),30,misc.forsale,55,sci.crypt,0.16436072
153,Similarity(different_class),30,misc.forsale,60,sci.electronics,0.22265656
154,Similarity(different_class),30,misc.forsale,65,sci.med,0.017893616
155,Similarity(different_class),30,misc.forsale,70,sci.space,0.3045495
156,Similarity(different_class),30,misc.forsale,75,soc.religion.christian,0.17298332
157,Similarity(different_class),30,misc.forsale,80,talk.politics.guns,0.105827644
158,Similarity(different_class),30,misc.forsale,85,talk.politics.mideast,0.21049935
159,Similarity(different_class),30,misc.forsale,90,talk.politics.misc,0.25017217
160,Similarity(different_class),30,misc.forsale,95,talk.religion.misc,0.07496416
161,Similarity(same_class),35,rec.autos,36,rec.autos,0.6128901
162,Similarity(same_class),35,rec.autos,37,rec.autos,0.37853745
163,Similarity(same_class),35,rec.autos,38,rec.autos,0.19047579
164,Similarity(same_class),35,rec.autos,39,rec.autos,0.2437538
165,Similarity(different_class),35,rec.autos,0,alt.atheism,0.26103806
166,Similarity(different_class),35,rec.autos,5,comp.graphics,0.22198449
167,Similarity(different_class),35,rec.autos,10,comp.os.ms-windows.misc,0.3249046
168,Similarity(different_class),35,rec.autos,15,comp.sys.ibm.pc.hardware,0.20017657
169,Similarity(different_class),35,rec.autos,20,comp.sys.mac.hardware,0.35131162
170,Similarity(different_class),35,rec.autos,25,comp.windows.x,0.23285955
171,Similarity(different_class),35,rec.autos,30,misc.forsale,0.24673225
172,Similarity(different_class),35,rec.autos,40,rec.motorcycles,0.20060354
173,Similarity(different_class),35,rec.autos,45,rec.sport.baseball,0.21990007
174,Similarity(different_class),35,rec.autos,50,rec.sport.hockey,0.013795458
175,Similarity(different_class),35,rec.autos,55,sci.crypt,0.322124
176,Similarity(different_class),35,rec.autos,60,sci.electronics,0.29813164
177,Similarity(different_class),35,rec.autos,65,sci.med,0.18336837
178,Similarity(different_class),35,rec.autos,70,sci.space,0.29003832
179,Similarity(different_class),35,rec.autos,75,soc.religion.christian,0.13394715
180,Similarity(different_class),35,rec.autos,80,talk.politics.guns,0.17564537
181,Similarity(different_class),35,rec.autos,85,talk.politics.mideast,0.19168924
182,Similarity(different_class),35,rec.autos,90,talk.politics.misc,0.107020125
183,Similarity(different_class),35,rec.autos,95,talk.religion.misc,0.2148501
184,Similarity(same_class),40,rec.motorcycles,41,rec.motorcycles,0.25146917
185,Similarity(same_class),40,rec.motorcycles,42,rec.motorcycles,0.24200097
186,Similarity(same_class),40,rec.motorcycles,43,rec.motorcycles,0.13272536
187,Similarity(same_class),40,rec.motorcycles,44,rec.motorcycles,0.193555
188,Similarity(different_class),40,rec.motorcycles,0,alt.atheism,0.06942666
189,Similarity(different_class),40,rec.motorcycles,5,comp.graphics,0.1579352
190,Similarity(different_class),40,rec.motorcycles,10,comp.os.ms-windows.misc,0.3010635
191,Similarity(different_class),40,rec.motorcycles,15,comp.sys.ibm.pc.hardware,0.2948885
192,Similarity(different_class),40,rec.motorcycles,20,comp.sys.mac.hardware,0.21568945
193,Similarity(different_class),40,rec.motorcycles,25,comp.windows.x,0.18879007
194,Similarity(different_class),40,rec.motorcycles,30,misc.forsale,0.089945905
195,Similarity(different_class),40,rec.motorcycles,35,rec.autos,0.21897858
196,Similarity(different_class),40,rec.motorcycles,45,rec.sport.baseball,0.26860046
197,Similarity(different_class),40,rec.motorcycles,50,rec.sport.hockey,0.33251894
198,Similarity(different_class),40,rec.motorcycles,55,sci.crypt,0.279543
199,Similarity(different_class),40,rec.motorcycles,60,sci.electronics,0.06504316
200,Similarity(different_class),40,rec.motorcycles,65,sci.med,0.36516958
201,Similarity(different_class),40,rec.motorcycles,70,sci.space,0.022345845
202,Similarity(different_class),40,rec.motorcycles,75,soc.religion.christian,0.20605454
203,Similarity(different_class),40,rec.motorcycles,80,talk.politics.guns,0.12079703
204,Similarity(different_class),40,rec.motorcycles,85,talk.politics.mideast,0.20046018
205,Similarity(different_class),40,rec.motorcycles,90,talk.politics.misc,0.15424298
206,Similarity(different_class),40,rec.motorcycles,95,talk.religion.misc,0.24166767
207,Similarity(same_class),45,rec.sport.baseball,46,rec.sport.baseball,0.07924412
208,Similarity(same_class),45,rec.sport.baseball,47,rec.sport.baseball,0.36613005
209,Similarity(same_class),45,rec.sport.baseball,48,rec.sport.baseball,0.4509748
210,Similarity(same_class),45,rec.sport.baseball,49,rec.sport.baseball,0.5172442
211,Similarity(different_class),45,rec.sport.baseball,0,alt.atheism,0.1305975
212,Similarity(different_class),45,rec.sport.baseball,5,comp.graphics,0.24941887
213,Similarity(different_class),45,rec.sport.baseball,10,comp.os.ms-windows.misc,0.34922984
214,Similarity(different_class),45,rec.sport.baseball,15,comp.sys.ibm.pc.hardware,0.3021258
215,Similarity(different_class),45,rec.sport.baseball,20,comp.sys.mac.hardware,0.2772966
216,Similarity(different_class),45,rec.sport.baseball,25,comp.windows.x,0.40719274
217,Similarity(different_class),45,rec.sport.baseball,30,misc.forsale,0.21934967
218,Similarity(different_class),45,rec.sport.baseball,35,rec.autos,0.2088413
219,Similarity(different_class),45,rec.sport.baseball,40,rec.motorcycles,0.27708593
220,Similarity(different_class),45,rec.sport.baseball,50,rec.sport.hockey,0.32063705
221,Similarity(different_class),45,rec.sport.baseball,55,sci.crypt,0.24329051
222,Similarity(different_class),45,rec.sport.baseball,60,sci.electronics,0.22758707
223,Similarity(different_class),45,rec.sport.baseball,65,sci.med,0.14756384
224,Similarity(different_class),45,rec.sport.baseball,70,sci.space,0.25320774
225,Similarity(different_class),45,rec.sport.baseball,75,soc.religion.christian,0.18800268
226,Similarity(different_class),45,rec.sport.baseball,80,talk.politics.guns,0.2519403
227,Similarity(different_class),45,rec.sport.baseball,85,talk.politics.mideast,0.29636154
228,Similarity(different_class),45,rec.sport.baseball,90,talk.politics.misc,0.22609434
